reporter,partner,value,year
United States of America,Japan,2233209.85,2021
United States of America,Mexico,112659,1987
United States of America,Mexico,844925,1988
United States of America,Mexico,415088,1989
United States of America,Mexico,359021,1990
United States of America,Mexico,314656,1991
United States of America,Mexico,409448,1992
United States of America,Mexico,974716,1993
United States of America,Mexico,626093,1994
United States of America,Mexico,810860,1995
United States of America,Mexico,1559704,1996
United States of America,Mexico,1067057,1997
United States of America,Mexico,1595805,1998
United States of America,Mexico,1855845,1999
United States of America,Mexico,1901658,2000
United States of America,Mexico,2217467,2001
United States of America,Mexico,2484197,2002
United States of America,Mexico,2653651,2003
United States of America,Mexico,2863039,2004
United States of America,Mexico,2890775,2005
United States of America,Mexico,2239724,2006
United States of America,Mexico,2521652,2007
United States of America,Mexico,2806543,2008
United States of America,Mexico,1925767,2009
United States of America,Mexico,2451724,2010
United States of America,Mexico,3263637,2011
United States of America,Mexico,3653983,2012
United States of America,Mexico,2895196,2013
United States of America,Mexico,2928526.27,2014
United States of America,Mexico,2609972.12,2015
United States of America,Mexico,2764223.24,2016
United States of America,Mexico,3721469.1,2017
United States of America,Mexico,2805180.65,2018
United States of America,Mexico,3563372.52,2019
United States of America,Mexico,3148009.93,2020
United States of America,Mexico,4159731.44,2021
United States of America,Nigeria,925588,1986
United States of America,Nigeria,52,1987
United States of America,Nigeria,285572,1992
United States of America,Nigeria,1018589,1993
United States of America,Nigeria,433751,1994
United States of America,Nigeria,595832,1995
United States of America,Nigeria,743672,1996
United States of America,Nigeria,634973,1997
United States of America,Nigeria,1036830,1998
United States of America,Nigeria,1220410,1999
United States of America,Nigeria,1248749,2000
United States of America,Nigeria,1659007,2001
United States of America,Nigeria,1895269,2002
United States of America,Nigeria,1787325,2003
United States of America,Nigeria,2367629,2004
United States of America,Nigeria,3167914,2005
United States of America,Nigeria,2453297,2006
United States of America,Nigeria,2682479,2007
United States of America,Nigeria,2613066,2008
United States of America,Nigeria,2935188,2009
United States of America,Nigeria,3393424,2010
United States of America,Nigeria,3631547,2011
United States of America,Nigeria,2858413,2012
United States of America,Nigeria,2961681,2013
United States of America,Nigeria,2224854.94,2014
United States of America,Nigeria,1899749.83,2015
United States of America,Nigeria,1076319.98,2016
United States of America,Nigeria,1647984,2017
United States of America,Nigeria,887415,2018
United States of America,Nigeria,2174905.2,2019
United States of America,Nigeria,1339484,2020
United States of America,Nigeria,1682175,2021
United States of America,Philippines,798183,1986
United States of America,Philippines,870172,1987
United States of America,Philippines,975756,1988
United States of America,Philippines,904884,1989
United States of America,Philippines,1088630,1990
United States of America,Philippines,1332081,1991
United States of America,Philippines,1482596,1992
United States of America,Philippines,1611230,1993
United States of America,Philippines,2015797,1994
